leto,gostiteljica,država,leader,deputy leader
1959,Romania,Romania,Gheorghe D. Simionescu,
1959,Romania,Hungary,Endre Hódi,
1959,Romania,Czechoslovakia,Rudolf Zelinka,
1959,Romania,Bulgaria,Stoian Budurov,
1959,Romania,Poland,Mieczyslaw Czyżykowski,
1959,Romania,Union of Soviet Socialist Republics,Anatol Mikhailovitch Vladimirski,
1959,Romania,German Democratic Republic,Rudolf Nitz,
1963,Poland,Union of Soviet Socialist Republics,Elena Alexandrovna Morozova,Ivan Semyonovitch Petrakov
1963,Poland,Hungary,Endre Hódi,Tibor Bakos
1963,Poland,Romania,Gheorghe D. Simionescu,
1963,Poland,Yugoslavia,Milica Dajović,M. Marjanović
1963,Poland,Czechoslovakia,Jan Vyšín,František Zítek
1963,Poland,Bulgaria,Alippi Mateev,Stoian Budurov
1963,Poland,German Democratic Republic,W. Engel,Herbert Titze
1963,Poland,Poland,Andrzej Mąkowski,K. Wiśniewski
1964,Union of Soviet Socialist Republics,Union of Soviet Socialist Republics,Elena Alexandrovna Morozova,L. B. Fuks
1964,Union of Soviet Socialist Republics,Hungary,Endre Hódi,István Reiman
1964,Union of Soviet Socialist Republics,Romania,Tiberiu Roman,Paul Alger
1964,Union of Soviet Socialist Republics,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1964,Union of Soviet Socialist Republics,Bulgaria,Alippi Mateev,Stoian Budurov
1964,Union of Soviet Socialist Republics,German Democratic Republic,W. Engel,Herbert Titze
1964,Union of Soviet Socialist Republics,Czechoslovakia,Rudolf Zelinka,František Zítek
1964,Union of Soviet Socialist Republics,Mongolia,Balsh Altangerel,D. Gurisav
1964,Union of Soviet Socialist Republics,Yugoslavia,Milica C. Dajević,M. Stojanović
1965,German Democratic Republic,Union of Soviet Socialist Republics,Elena Alexandrovna Morozova,Ivan Semyonovitch Petrakov
1965,German Democratic Republic,Hungary,Endre Hódi,István Reiman
1965,German Democratic Republic,Romania,Tiberiu Roman,Zlate Bogdanov
1965,German Democratic Republic,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1965,German Democratic Republic,German Democratic Republic,Hans-Joachim Weinert,Johannes Gronitz
1965,German Democratic Republic,Czechoslovakia,Jan Vyšín,František Zítek
1965,German Democratic Republic,Yugoslavia,Milica Ilić-Djajović,Vladimir Mićić
1965,German Democratic Republic,Bulgaria,Alippi Mateev,Stoian Budurov
1965,German Democratic Republic,Mongolia,Gensengin Ischzeren,Balsh Altangerel
1965,German Democratic Republic,Finland,Jarmo Nyström,Anja Hormio
1966,Bulgaria,Union of Soviet Socialist Republics,,
1966,Bulgaria,Hungary,Endre Hódi,István Reiman
1966,Bulgaria,German Democratic Republic,,
1966,Bulgaria,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1966,Bulgaria,Romania,,
1966,Bulgaria,Bulgaria,,
1966,Bulgaria,Yugoslavia,,
1966,Bulgaria,Czechoslovakia,,
1966,Bulgaria,Mongolia,,
1967,Yugoslavia,Union of Soviet Socialist Republics,Elena Alexandrovna Morozova,Ivan Semyonovitch Petrakov
1967,Yugoslavia,German Democratic Republic,Hans-Joachim Weinert,Helmut Bausch
1967,Yugoslavia,Hungary,Endre Hódi,István Reiman
1967,Yugoslavia,United Kingdom,Robert Lyness,Norman Routledge
1967,Yugoslavia,Romania,Constantin Ionescu,Zlate Bogdanov
1967,Yugoslavia,Bulgaria,Spas Monolov,Stoian Budurov
1967,Yugoslavia,Czechoslovakia,Jan Vyšín,František Zítek
1967,Yugoslavia,Yugoslavia,Dušan Adnadević,Vladimir Mićić
1967,Yugoslavia,Sweden,Lars Inge Hedberg,Lars Brandell
1967,Yugoslavia,Italy,Tullio Viola,Angelo Pescarini
1967,Yugoslavia,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1967,Yugoslavia,Mongolia,Urshincerengin Sanzhmyatav,Aivan Duger
1967,Yugoslavia,France,André Adler,
1968,Union of Soviet Socialist Republics,German Democratic Republic,,
1968,Union of Soviet Socialist Republics,Union of Soviet Socialist Republics,,
1968,Union of Soviet Socialist Republics,Hungary,Endre Hódi,István Reiman
1968,Union of Soviet Socialist Republics,United Kingdom,Norman Routledge,David Monk
1968,Union of Soviet Socialist Republics,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1968,Union of Soviet Socialist Republics,Sweden,Per Martin-Löf,Peter Hackman
1968,Union of Soviet Socialist Republics,Czechoslovakia,,
1968,Union of Soviet Socialist Republics,Romania,Konstantin Ionescu,Gled Simionescu
1968,Union of Soviet Socialist Republics,Bulgaria,,
1968,Union of Soviet Socialist Republics,Yugoslavia,,
1968,Union of Soviet Socialist Republics,Italy,,
1968,Union of Soviet Socialist Republics,Mongolia,,
1969,Romania,Hungary,Endre Hódi,István Reiman
1969,Romania,German Democratic Republic,Helmut Bausch,Rolf Lüders
1969,Romania,Union of Soviet Socialist Republics,Viktor Josifovitch Levin,Ivan Semyonovitch Petrakov
1969,Romania,Romania,Zlate Bogdanov,Florea Pasarica
1969,Romania,United Kingdom,FR Watson,Lenon Beeson
1969,Romania,Bulgaria,Kiril Dotchev,Dimo Serafimov Angelov
1969,Romania,Yugoslavia,Vladimir Mićić,Mila Mršević
1969,Romania,Czechoslovakia,Jan Vyšín,Jozef Moravčík
1969,Romania,Mongolia,Gunzhe Gatavyn,Gombyn Zagdragca
1969,Romania,France,André Warusfel,Geril Denis
1969,Romania,Poland,Mieczyslaw Czyżykowski,Andrzej Mąkowski
1969,Romania,Sweden,Vidar Thomée,Åke Samuelsson
1969,Romania,Belgium,Svens Marcel,Nachtere Jaele Jean
1969,Romania,Netherlands,Hans Freudenthal,Ary van Tooren
1970,Hungary,Hungary,Endre Hódi,István Reiman
1970,Hungary,German Democratic Republic,Helmut Bausch,
1970,Hungary,Union of Soviet Socialist Republics,Michail Ilyich Serov,
1970,Hungary,Yugoslavia,Milenko Steković,
1970,Hungary,Romania,Gleb Simionescu,Constantin Ottescu
1970,Hungary,United Kingdom,Bryan Thwaites,Margaret Riley Crann
1970,Hungary,Bulgaria,Kiril Dotchev,
1970,Hungary,Czechoslovakia,Jan Vyšín,
1970,Hungary,France,André Warusfel,
1970,Hungary,Sweden,Åke Samuelsson,Lars Walbin
1970,Hungary,Poland,Andrzej Mąkowski,Maciej Bryński
1970,Hungary,Austria,Thomas Mühlgassner,
1970,Hungary,Netherlands,Ary van Tooren,
1970,Hungary,Mongolia,Urshincerengin Sanzhmyatav,
1971,Czechoslovakia,Hungary,Endre Hódi,István Reiman
1971,Czechoslovakia,Union of Soviet Socialist Republics,Valentin Anatolyevitch Skvorcov,Ivan Semyonovitch Petrakov
1971,Czechoslovakia,German Democratic Republic,Helmut Bausch,Gustav Burosch
1971,Czechoslovakia,Poland,Andrzej Mąkowski,Maciej Bryński
1971,Czechoslovakia,Romania,Nicolae Mihaileanu,Constantin Ottescu
1971,Czechoslovakia,United Kingdom,Frank J Budden,Peter Reynolds
1971,Czechoslovakia,Austria,Thomas Mühlgassner,Wolfgang Ratzinger
1971,Czechoslovakia,Yugoslavia,Vladimir Mićić,Jovan Vukmirović
1971,Czechoslovakia,Czechoslovakia,Jozef Moravčík,Jiří Mída
1971,Czechoslovakia,Netherlands,Ary van Tooren,Artur Hoogendoorn
1971,Czechoslovakia,Sweden,Kjell-Ove Widman,Lars Wahlbin
1971,Czechoslovakia,Bulgaria,Kiril Dotchev,Dimo Serafimov Angelov
1971,Czechoslovakia,France,André Warusfel,Denis Gerll
1971,Czechoslovakia,Mongolia,Urshincerengin Sanzhmyatav,Dambyn Sadgar
1971,Czechoslovakia,Cuba,Luis Davidson,
1972,Poland,Union of Soviet Socialist Republics,Valentin Anatolyevitch Skvorcov,Ivan Semyonovitch Petrakov
1972,Poland,Hungary,Endre Hódi,István Reiman
1972,Poland,German Democratic Republic,Helmuth Bausch,Gustav Burosch
1972,Poland,Romania,Dimitrie Dragicescu,Constantin Ottescu
1972,Poland,United Kingdom,Robert Cranston Lyness,Margaret Louise Seed
1972,Poland,Poland,Edward Sąsiada,Zbigniew Bobiński
1972,Poland,Austria,Thomas Mühlgassner,Wolfgang Ratzinger
1972,Poland,Yugoslavia,Vladimir Mićić,Tomo Pisanski
1972,Poland,Czechoslovakia,František Zítek,Jozef Moravčík
1972,Poland,Bulgaria,I. R. Prodanov,Z. D. Keragyosov
1972,Poland,Sweden,Kersi Haliste,Thomas Claeson
1972,Poland,Netherlands,Ary van Tooren,Artur Hoogendoorn
1972,Poland,Mongolia,Urshincerengin Sanzhmyatav,Gombyn Zagdragca
1972,Poland,Cuba,Luis J. Davidson,Felix Recio
1973,Union of Soviet Socialist Republics,Union of Soviet Socialist Republics,Valentin Skvortsov,Liliya Pashkova
1973,Union of Soviet Socialist Republics,Hungary,Endre Hódi,József Pelikán
1973,Union of Soviet Socialist Republics,German Democratic Republic,Helmut Bausch,Gustav Burosch
1973,Union of Soviet Socialist Republics,Poland,Andrzej Mąkowski,Maciej Bryński
1973,Union of Soviet Socialist Republics,United Kingdom,Frank J Budden,Raymond Payne
1973,Union of Soviet Socialist Republics,France,Georges Glaser,Claude Deschamps
1973,Union of Soviet Socialist Republics,Czechoslovakia,Jozef Moravčík,Jiří Mída
1973,Union of Soviet Socialist Republics,Austria,Thomas Mühlgassner,Wolfgang Ratzinger
1973,Union of Soviet Socialist Republics,Romania,Ioan Cuculescu,Constantin Ottescu
1973,Union of Soviet Socialist Republics,Yugoslavia,Vladimir Mićić,Djordje Dugošija
1973,Union of Soviet Socialist Republics,Sweden,Åke Samuelsson,Stig Westlund
1973,Union of Soviet Socialist Republics,Bulgaria,Ivan Prodanov,Dimo Serafimov Angelov
1973,Union of Soviet Socialist Republics,Netherlands,Ary van Tooren,Jan van de Craats
1973,Union of Soviet Socialist Republics,Finland,Jarkko Leino,Jarmo Nyström
1973,Union of Soviet Socialist Republics,Mongolia,Urshincerengin Sanzhimyatav,Ga. Dagva
1973,Union of Soviet Socialist Republics,Cuba,L. Davidson,F. Recio
1974,German Democratic Republic,Union of Soviet Socialist Republics,Valentin Anatoljevich Skvorzov,Soja Ivanovna Moisejeva
1974,German Democratic Republic,United States of America,Samuel L. Greitzer,Cecil C. Rousseau
1974,German Democratic Republic,Hungary,Endre Hódi,István Reiman
1974,German Democratic Republic,German Democratic Republic,Gustav Burosch,Hans Jürgen Sprengel
1974,German Democratic Republic,Yugoslavia,Vladimir Mićić,Zoran Kadelburg
1974,German Democratic Republic,Austria,Thomas Mühlgassner,Wolfgang Ratzinger
1974,German Democratic Republic,Romania,Ion Cuculesu,Constantin Ottescu
1974,German Democratic Republic,France,Georges Glaeser,Denis Gerll
1974,German Democratic Republic,United Kingdom,Robert Cranston Lyness,David Monk
1974,German Democratic Republic,Sweden,Åke Samuelsson,Stig Westlund
1974,German Democratic Republic,Bulgaria,Vladimir Tschoukanov,Dimo Serafimov Angelov
1974,German Democratic Republic,Czechoslovakia,Jozef Moravčík,Vlastimil Macháček
1974,German Democratic Republic,Vietnam,Le Hai Chau,Phan Duc Chinh
1974,German Democratic Republic,Poland,Andzrej Mąkowski,Maciej Bryński
1974,German Democratic Republic,Netherlands,Ary van Tooren,Jan van de Craats
1974,German Democratic Republic,Finland,Matti Lehtinen,Jarmo Nyström
1974,German Democratic Republic,Cuba,Luis Davidson,Felix Recio
1974,German Democratic Republic,Mongolia,Urshinzerengin Sanzhimyatav,Sagaratscha Gombyn
1975,Bulgaria,Hungary,Endre Hódi,István Reiman
1975,Bulgaria,German Democratic Republic,,
1975,Bulgaria,United States of America,,
1975,Bulgaria,Union of Soviet Socialist Republics,,
1975,Bulgaria,United Kingdom,Robert Cranston Lyness,John Durran
1975,Bulgaria,Austria,,
1975,Bulgaria,Bulgaria,,
1975,Bulgaria,Romania,,
1975,Bulgaria,France,,
1975,Bulgaria,Vietnam,,
1975,Bulgaria,Yugoslavia,,
1975,Bulgaria,Czechoslovakia,František Zítek,Jozef Moravčík
1975,Bulgaria,Sweden,Åke Samuelsson,Lars-Åke Lindahl
1975,Bulgaria,Poland,Maciej Bryński,Tadeusz Iwaniec
1975,Bulgaria,Greece,,
1975,Bulgaria,Mongolia,,
1975,Bulgaria,Netherlands,Jan van de Craats,Marcel van der Vlugt
1976,Austria,Union of Soviet Socialist Republics,A. P. Savin,S. I. Moyseyeva
1976,Austria,United Kingdom,Robert Cranston Lyness,Colin Cecil Goldsmith
1976,Austria,United States of America,Samuel L. Greitzer,Murray S. Klamkin
1976,Austria,Bulgaria,Petar Kenderov,Dimo Serafimov Angelov
1976,Austria,Austria,Thomas Mühlgassner,Wolfgang Ratzinger
1976,Austria,France,Georges Glaeser,Denis Gerll
1976,Austria,Hungary,Endre Hódi,István Reiman
1976,Austria,German Democratic Republic,Helmut Bausch,Monika Noack
1976,Austria,Poland,Andrzej Mąkowski,Tadeusz Iwaniec
1976,Austria,Sweden,Åke Samuelsson,Lars-Åke Lindahl
1976,Austria,Romania,Ioan Cuculescu,F. Haica
1976,Austria,Czechoslovakia,František Zítek,Jozef Moravčík
1976,Austria,Yugoslavia,Zoran Kadelburg,Lazar Milin
1976,Austria,Vietnam,Le Hai Chau,Phan Duc Chinh
1976,Austria,Netherlands,Jan van de Craats,Marcel van der Vlugt
1976,Austria,Finland,Matti Lehtinen,Heikki Valkama
1976,Austria,Greece,I. Merminghis,P. Sabatakos
1976,Austria,Cuba,N. del Prado,
1977,Yugoslavia,United States of America,Samuel L. Greitzer,Murray S. Klamkin
1977,Yugoslavia,Union of Soviet Socialist Republics,Anatolij Pavlovič Savin,Vladimír Alexej. Orlov
1977,Yugoslavia,Hungary,Endre Hódi,István Reiman
1977,Yugoslavia,United Kingdom,Robert Lyness,Terence James Heard
1977,Yugoslavia,Netherlands,Jan van de Craats,Bert Boon
1977,Yugoslavia,Bulgaria,Petar Kenderov,Dimo Serafimov Angelov
1977,Yugoslavia,Germany,Arthur Engel,Horst Sewerin
1977,Yugoslavia,German Democratic Republic,Gustav Burosch,Monika Noack
1977,Yugoslavia,Czechoslovakia,Jozef Moravčík,František Zítek
1977,Yugoslavia,Yugoslavia,Zoran Kadelburg,Lazar Milin
1977,Yugoslavia,Poland,Andrzej Mąkowski,Maciej Bryński
1977,Yugoslavia,Austria,Thomas Mühlgassner,Wolfgang Ratzinger
1977,Yugoslavia,Sweden,Lars-Åke Lindahl,Rune Gustavsson
1977,Yugoslavia,France,Denis Gerll,Christian Gautier
1977,Yugoslavia,Romania,Ioan Cuculescu,Uran Canstantiri
1977,Yugoslavia,Finland,Matti Lehtinen,Heikki Valkama
1977,Yugoslavia,Mongolia,Urshincerengin Sanzhmyatav,Sagdaracha Gombyn
1977,Yugoslavia,Cuba,Felix Recio,
1977,Yugoslavia,Belgium,Frederic Burvenich,Buy Halin
1977,Yugoslavia,Italy,I. Volčič,G. Felician
1977,Yugoslavia,Algeria,Mohamed Bekada,Amokrane Calou
1978,Romania,Romania,,
1978,Romania,United States of America,,
1978,Romania,United Kingdom,Robert Cranston Lyness,John William Hersee
1978,Romania,Vietnam,,
1978,Romania,Czechoslovakia,,
1978,Romania,Germany,,
1978,Romania,Bulgaria,,
1978,Romania,France,,
1978,Romania,Austria,,
1978,Romania,Yugoslavia,,
1978,Romania,Netherlands,Jan van de Craats,Bert Boon
1978,Romania,Poland,Andrzej Mąkowski,Maciej Bryński
1978,Romania,Finland,Matti Lehtinen,Erkki Pehkonen
1978,Romania,Sweden,Lars-Åke Lindalh,Rune Gustavsson
1978,Romania,Cuba,,
1978,Romania,Turkey,,
1978,Romania,Mongolia,,
1979,United Kingdom,Union of Soviet Socialist Republics,A. P. Savin,V. I. Mishin
1979,United Kingdom,Romania,Ioan Cuculescu,P. Horia
1979,United Kingdom,Germany,Arthur Engel,Horst Sewerin
1979,United Kingdom,United Kingdom,Colin Cecil Goldsmith,Terence James Heard
1979,United Kingdom,United States of America,Samuel L. Greitzer,Murray S. Klamkin
1979,United Kingdom,German Democratic Republic,Gustav Burosch,Monika Noack
1979,United Kingdom,Czechoslovakia,František Zítek,Jozef Moravčík
1979,United Kingdom,Hungary,Endre Hódi,István Reiman
1979,United Kingdom,Yugoslavia,D. Ljubić,V. Janković
1979,United Kingdom,Poland,Andrzej Mąkowski,Maciej Bryński
1979,United Kingdom,France,Claude Deschamps,Denis Gerll
1979,United Kingdom,Austria,Thomas Mühlgassner,Gerhard Windischbacher
1979,United Kingdom,Bulgaria,J. B. Tabov,V. Michailov
1979,United Kingdom,Sweden,Lars-Åke Lindahl,Svante Janson
1979,United Kingdom,Vietnam,Le Hai Chau,Dao Van Phong
1979,United Kingdom,Netherlands,Jan van de Craats,Bert Boon
1979,United Kingdom,Israel,Joe Gillis,A. Markus
1979,United Kingdom,Finland,Matti Lehtinen,Erkki Pehkonen
1979,United Kingdom,Belgium,A. Festraets,W. van Harume
1979,United Kingdom,Greece,I. Merminghis,Theodoros Exarchakos
1979,United Kingdom,Cuba,Felix Recio,
1979,United Kingdom,Brazil,A. Barone,
1979,United Kingdom,Luxembourg,Lucien Kieffer,
1981,United States of America,United States of America,,
1981,United States of America,Germany,,
1981,United States of America,United Kingdom,Robert Cranston Lyness,John William Hersee
1981,United States of America,Austria,,
1981,United States of America,Bulgaria,,
1981,United States of America,Poland,Andrzej Mąkowski,Maciej Bryński
1981,United States of America,Canada,Geoffrey Butler,Edward Barbeau
1981,United States of America,Yugoslavia,,
1981,United States of America,Union of Soviet Socialist Republics,,
1981,United States of America,Netherlands,Jan van de Craats,Bert Boon
1981,United States of America,France,,
1981,United States of America,Sweden,Lars-Åke Lindahl,Svante Janson
1981,United States of America,Finland,Matti Lehtinen,Juha Oikkonen
1981,United States of America,Czechoslovakia,František Zítek,
1981,United States of America,Israel,Joe Gillis,
1981,United States of America,Brazil,,
1981,United States of America,Hungary,Endre Hódi,István Reiman
1981,United States of America,Cuba,,
1981,United States of America,Belgium,,
1981,United States of America,Romania,,
1981,United States of America,Australia,Jim Williams,Geoff Ball
1981,United States of America,Greece,,
1981,United States of America,Colombia,,
1981,United States of America,Venezuela,,
1981,United States of America,Luxembourg,Lucien Kieffer,
1981,United States of America,Tunisia,,
1981,United States of America,Mexico,,
1982,Hungary,Germany,,
1982,Hungary,Union of Soviet Socialist Republics,,
1982,Hungary,German Democratic Republic,,
1982,Hungary,United States of America,,
1982,Hungary,Vietnam,,
1982,Hungary,Hungary,Endre Hódi,István Reiman
1982,Hungary,Czechoslovakia,Jozef Moravčík,František Zítek
1982,Hungary,Finland,Juha Oikkonen,Matti Lehtinen
1982,Hungary,Bulgaria,,
1982,Hungary,United Kingdom,Robert Cranston Lyness,David Monk
1982,Hungary,Romania,,
1982,Hungary,Yugoslavia,,
1982,Hungary,Poland,Andrzej Mąkowski,Maciej Bryński
1982,Hungary,Netherlands,Jan van de Craats,Thijs Notenboom
1982,Hungary,France,,
1982,Hungary,Austria,,
1982,Hungary,Canada,Geoffrey Butler,Edward Barbeau
1982,Hungary,Israel,Joe Gillis,
1982,Hungary,Sweden,Svante Janson,Lars-Åke Lindalh
1982,Hungary,Australia,Jim Williams,Geoff Ball
1982,Hungary,Brazil,,
1982,Hungary,Mongolia,,
1982,Hungary,Greece,,
1982,Hungary,Belgium,,
1982,Hungary,Cuba,,
1982,Hungary,Colombia,,
1982,Hungary,Algeria,,
1982,Hungary,Venezuela,,
1982,Hungary,Tunisia,,
1982,Hungary,Kuwait,,
1983,France,Germany,,
1983,France,United States of America,,
1983,France,Hungary,Endre Hódi,István Reiman
1983,France,Union of Soviet Socialist Republics,,
1983,France,Romania,,
1983,France,Vietnam,,
1983,France,Netherlands,Thijs Notenboom,Jan van de Craats
1983,France,Czechoslovakia,František Zítek,Júlia Lukátšová
1983,France,Bulgaria,,
1983,France,France,,
1983,France,United Kingdom,Robert Cranston Lyness,David Monk
1983,France,German Democratic Republic,,
1983,France,Finland,Juha Oikkonen,Matti Lehtinen
1983,France,Canada,Edward Barbeau,Geoffrey Butler
1983,France,Poland,Andrzej Mąkowski,Maciej Bryński
1983,France,Israel,Joe Gillis,
1983,France,Greece,Georgios Koletsos,Dimitrios Kontogiannis
1983,France,Yugoslavia,,
1983,France,Australia,Jim Williams,Geoff Ball
1983,France,Brazil,,
1983,France,Sweden,Åke Samuelsson,Svante Janson
1983,France,Austria,,
1983,France,Spain,Ceferino Ruiz Garrido,Jordi Dou Mas de Xexás
1983,France,Cuba,,
1983,France,Morocco,,
1983,France,Belgium,,
1983,France,Tunisia,,
1983,France,Colombia,,
1983,France,Luxembourg,Lucien Kieffer,
1983,France,Algeria,,
1983,France,Kuwait,,
1983,France,Italy,,
1984,Czechoslovakia,Union of Soviet Socialist Republics,,
1984,Czechoslovakia,Bulgaria,,
1984,Czechoslovakia,Romania,,
1984,Czechoslovakia,Hungary,Endre Hódi,István Reiman
1984,Czechoslovakia,United States of America,,
1984,Czechoslovakia,United Kingdom,David Monk,Frank Budden
1984,Czechoslovakia,Vietnam,,
1984,Czechoslovakia,German Democratic Republic,,
1984,Czechoslovakia,Germany,,
1984,Czechoslovakia,Mongolia,,
1984,Czechoslovakia,Poland,Andrzej Mąkowski,Maciej Bryński
1984,Czechoslovakia,France,,
1984,Czechoslovakia,Czechoslovakia,Beloslav Riečan,Leo Boček
1984,Czechoslovakia,Yugoslavia,,
1984,Czechoslovakia,Australia,Jim Williams,Geoff Ball
1984,Czechoslovakia,Austria,,
1984,Czechoslovakia,Netherlands,Thijs Notenboom,Jan van de Craats
1984,Czechoslovakia,Brazil,,
1984,Czechoslovakia,Greece,Evangelos Giannakopoulos,Dimitrios Kontogiannis
1984,Czechoslovakia,Canada,Leon Bowden,Edward Barbeau
1984,Czechoslovakia,Colombia,,
1984,Czechoslovakia,Cuba,,
1984,Czechoslovakia,Belgium,,
1984,Czechoslovakia,Morocco,,
1984,Czechoslovakia,Sweden,Åke Samuelsson,Svante Janson
1984,Czechoslovakia,Cyprus,,
1984,Czechoslovakia,Spain,Juan Antonio Navarro González,María Gaspar Alonso-Vega
1984,Czechoslovakia,Algeria,,
1984,Czechoslovakia,Finland,Matti Lehtinen,Hannu Rita
1984,Czechoslovakia,Tunisia,,
1984,Czechoslovakia,Norway,,
1984,Czechoslovakia,Luxembourg,Lucien Kieffer,
1984,Czechoslovakia,Kuwait,,
1984,Czechoslovakia,Italy,,
1985,Finland,Romania,Ioan Tomescu,Ioan Maftei
1985,Finland,United States of America,Cecil Rousseau,Gregg Patruno
1985,Finland,Hungary,Endre Hódi,István Reiman
1985,Finland,Bulgaria,Ivan Tonov,Velichko Filipov Mihailov
1985,Finland,Vietnam,Hoang Xuan Sinh,Doan Quynh
1985,Finland,Union of Soviet Socialist Republics,Aleksander Fomin,Tatiana Saricheva
1985,Finland,Germany,Horst Sewerin,Erich Runge
1985,Finland,German Democratic Republic,Gustav Burosch,Konrad Engel
1985,Finland,France,Claude Deschamps,Daniéle Lino
1985,Finland,United Kingdom,Robert Cranston Lyness,David Monk
1985,Finland,Australia,Jim Williams,Geoff Ball
1985,Finland,Canada,Ronald Scoins,Thomas Griffiths
1985,Finland,Czechoslovakia,František Zítek,Júlia Lukátšová
1985,Finland,Poland,Andrzej Mąkowski,Maciej Bryński
1985,Finland,Brazil,Joao Bosco Pitombeira de Carvalho,Nicolau Corção Saldanha
1985,Finland,Israel,Joe Gillis,Ron Aharoni
1985,Finland,Austria,Thomas Mühlgassner,Gerhard Windisbacher
1985,Finland,Cuba,Luis Davidson,Raimundo Reguera
1985,Finland,Netherlands,Jan van de Craats,Thijs Notenboom
1985,Finland,Greece,Theodoros Bolis,Dimitrios Kontogiannis
1985,Finland,Yugoslavia,Željko Hanjš,Uroš Milutinović
1985,Finland,Sweden,Åke Samuelsson,Svante Janson
1985,Finland,Mongolia,Mekei Abish,Dashdorj Tserendorj
1985,Finland,Belgium,Jean Wilmet,Roland Bens
1985,Finland,Morocco,Abdelillah Mossadeq,Mohammed Kharbach
1985,Finland,Colombia,Maria de Losada,John Bastidas
1985,Finland,Turkey,Okay Çelebi,Bedri Süer
1985,Finland,Tunisia,Brahim Mabrouk,Slah Bejar
1985,Finland,Algeria,Mohamed Bekada,Abdelkader Sami
1985,Finland,Norway,Knut Sydsaeter,Jon Reed
1985,Finland,Islamic Republic of Iran,,
1985,Finland,People's Republic of China,Wang Shouren,Qiu Zonghu
1985,Finland,Cyprus,Michael Panyoitis,George N. Philippou
1985,Finland,Finland,Hannu Rita,Raimo Seppänen
1985,Finland,Spain,Ceferino Ruiz Garrido,Maria Gaspar Alonso-Vega
1985,Finland,Italy,Francesco Speranza,Paolo Pisaneschi
1985,Finland,Iceland,Reynir Axelsson,Benedikt Jóhanneson
1985,Finland,Kuwait,Mansour Hussein,Adnan Hamoui
1986,Poland,United States of America,,
1986,Poland,Union of Soviet Socialist Republics,,
1986,Poland,Germany,,
1986,Poland,People's Republic of China,,
1986,Poland,German Democratic Republic,,
1986,Poland,Romania,Ioan Tomescu,Ioan Maftei
1986,Poland,Bulgaria,,
1986,Poland,Hungary,Endre Hódi,István Reiman
1986,Poland,Czechoslovakia,,
1986,Poland,Vietnam,,
1986,Poland,United Kingdom,David Monk,Paul Woodruff
1986,Poland,France,,
1986,Poland,Austria,,
1986,Poland,Israel,Joe Gillis,
1986,Poland,Australia,David Hunt,Geoff Ball
1986,Poland,Canada,Ronald Scoins,Ronald Dunkley
1986,Poland,Poland,Tadeusz Józefiak,Henryk Pawłowski
1986,Poland,Morocco,,
1986,Poland,Tunisia,,
1986,Poland,Yugoslavia,,
1986,Poland,Algeria,,
1986,Poland,Belgium,,
1986,Poland,Spain,Ceferino Ruiz Garrido,María Gaspar Alonso-Vega
1986,Poland,Brazil,,
1986,Poland,Norway,,
1986,Poland,Greece,Theodoros Bolis,Dimitrios Kontogiannis
1986,Poland,Finland,Juha Oikkonen,Hannu Rita
1986,Poland,Colombia,,
1986,Poland,Sweden,Åke Samuelsson,Kurt Johansson
1986,Poland,Turkey,Ali Osman Asar,Okay Çelebi
1986,Poland,Mongolia,,
1986,Poland,Cyprus,,
1986,Poland,Cuba,,
1986,Poland,Italy,,
1986,Poland,Kuwait,,
1986,Poland,Iceland,,
1986,Poland,Luxembourg,Lucien Kieffer,
1987,Cuba,Romania,Octavian Stanasila,
1987,Cuba,Germany,,
1987,Cuba,Union of Soviet Socialist Republics,,
1987,Cuba,German Democratic Republic,,
1987,Cuba,United States of America,,
1987,Cuba,Hungary,Endre Hódi,István Reiman
1987,Cuba,Bulgaria,,
1987,Cuba,People's Republic of China,,
1987,Cuba,Czechoslovakia,František Zítek,Tomáš Hecht
1987,Cuba,United Kingdom,Robert Cranston Lyness,Terence James Heard
1987,Cuba,Vietnam,,
1987,Cuba,France,,
1987,Cuba,Austria,,
1987,Cuba,Netherlands,Thijs Notenboom,Jan Donkers
1987,Cuba,Australia,Emanuel Strzelecki,Geoff Ball
1987,Cuba,Canada,Bruce Shawyer,Ronald Scoins
1987,Cuba,Sweden,Åke Samuelsson,Kurt Johansson
1987,Cuba,Yugoslavia,,
1987,Cuba,Brazil,,
1987,Cuba,Greece,Theodoros Bolis,Dimitrios Kontogiannis
1987,Cuba,Turkey,Okay Çelebi,Ali Osman Asar
1987,Cuba,Spain,Ceferino Ruiz Garrido,María Gaspar Alonso-Vega
1987,Cuba,Morocco,,
1987,Cuba,Cuba,,
1987,Cuba,Belgium,,
1987,Cuba,Finland,Juha Oikkonen,Matti Lehtinen
1987,Cuba,Islamic Republic of Iran,Mohammad Ali Najafi,Mirza Jalili
1987,Cuba,Norway,,
1987,Cuba,Colombia,,
1987,Cuba,Mongolia,,
1987,Cuba,Poland,Maciej Bryński,
1987,Cuba,Iceland,,
1987,Cuba,Cyprus,,
1987,Cuba,Peru,,
1987,Cuba,Italy,,
1987,Cuba,Algeria,,
